,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-07-07 07:14:59.999,1657170720000,1172.64,1175.1,1172.08,1174.99,1390.5999,1657170899999,1632409.137851,1733,821.2668,964055.456588,
2022-07-07 07:17:59.999,1657170900000,1174.98,1175.05,1173.67,1173.81,930.1284,1657171079999,1092437.66458,974,481.152,565188.350492,
2022-07-07 07:20:59.999,1657171080000,1173.81,1174.38,1172.01,1172.17,902.0292,1657171259999,1058387.904822,991,266.5233,312746.097743,
2022-07-07 07:23:59.999,1657171260000,1172.18,1173.07,1171.0,1171.6,1629.6175,1657171439999,1909566.195278,1039,554.249,649378.788895,
2022-07-07 07:26:59.999,1657171440000,1171.6,1173.12,1170.5,1170.8,569.2941,1657171619999,667191.114309,786,273.0646,320005.905809,
2022-07-07 07:29:59.999,1657171620000,1170.8,1171.28,1169.08,1169.92,2204.432,1657171799999,2579543.480733,1429,775.8441,907818.134352,
2022-07-07 07:32:59.999,1657171800000,1169.91,1170.72,1168.53,1170.62,801.1012,1657171979999,936941.201606,923,407.7756,476919.52886,
2022-07-07 07:35:59.999,1657171980000,1170.62,1173.51,1169.8,1172.38,1009.6144,1657172159999,1183374.434771,1211,409.1075,479442.610232,
2022-07-07 07:38:59.999,1657172160000,1172.38,1172.39,1170.16,1171.13,892.3864,1657172339999,1045474.853008,792,317.3797,371688.659117,
2022-07-07 07:41:59.999,1657172340000,1171.14,1171.83,1168.9,1169.34,911.8497,1657172519999,1066957.7215,926,423.4703,495467.415858,
2022-07-07 07:44:59.999,1657172520000,1169.35,1170.23,1169.07,1169.38,403.1718,1657172699999,471527.35226,577,245.1154,286663.26919,
2022-07-07 07:47:59.999,1657172700000,1169.37,1170.3,1169.37,1169.99,383.6282,1657172879999,448847.520506,656,185.143,216605.336021,
2022-07-07 07:50:59.999,1657172880000,1170.0,1171.35,1166.68,1168.0,3058.5274,1657173059999,3571777.459115,1680,1185.8131,1384918.094002,
2022-07-07 07:53:59.999,1657173060000,1167.99,1168.88,1167.07,1167.79,1224.5186,1657173239999,1430062.423262,1180,414.7426,484308.26619,
2022-07-07 07:56:59.999,1657173240000,1167.79,1167.79,1164.82,1166.46,5462.7783,1657173419999,6369590.675476,2953,3151.1389,3674333.997236,
2022-07-07 07:59:59.999,1657173420000,1166.47,1167.53,1163.5,1165.08,2950.8456,1657173599999,3438485.093937,2020,1242.7787,1448074.463316,
2022-07-07 08:02:59.999,1657173600000,1165.08,1166.09,1163.18,1163.71,1701.2035,1657173779999,1981559.575815,1625,832.4379,969696.070992,
2022-07-07 08:05:59.999,1657173780000,1163.72,1166.68,1163.62,1166.3,1173.5765,1657173959999,1368046.470769,1080,604.2627,704262.216672,
2022-07-07 08:08:59.999,1657173960000,1166.3,1166.82,1165.58,1166.78,947.5802,1657174139999,1105046.065332,899,374.9831,437278.365667,
2022-07-07 08:11:59.999,1657174140000,1166.78,1167.9,1166.33,1166.46,1060.2412,1657174319999,1237532.706394,1058,586.5202,684570.340911,
2022-07-07 08:14:59.999,1657174320000,1166.45,1166.85,1165.03,1166.77,626.0939,1657174499999,729965.916316,772,286.9591,334571.475393,
2022-07-07 08:17:59.999,1657174500000,1166.77,1168.33,1166.52,1166.79,1296.6561,1657174679999,1514000.94098,1219,624.8836,729678.482974,
2022-07-07 08:20:59.999,1657174680000,1166.79,1168.65,1166.79,1168.52,949.3865,1657174859999,1108568.765253,929,387.9986,453054.994276,
2022-07-07 08:23:59.999,1657174860000,1168.53,1169.23,1167.0,1167.83,797.0155,1657175039999,930884.856279,977,514.5569,600939.285092,
2022-07-07 08:26:59.999,1657175040000,1167.83,1168.8,1167.26,1168.45,565.8094,1657175219999,660952.320014,645,370.3478,432601.033543,
2022-07-07 08:29:59.999,1657175220000,1168.44,1169.63,1168.03,1169.52,1086.2299,1657175399999,1269422.238932,869,519.5206,607157.217619,
2022-07-07 08:32:59.999,1657175400000,1169.51,1170.7,1167.09,1167.49,1871.5248,1657175579999,2188392.02364,1228,1348.8571,1577535.808335,
2022-07-07 08:35:59.999,1657175580000,1167.49,1168.94,1167.0,1168.38,557.323,1657175759999,650827.70416,908,264.8529,309292.468055,
2022-07-07 08:38:59.999,1657175760000,1168.39,1168.67,1166.47,1166.48,541.9693,1657175939999,632945.803318,851,202.1285,236047.587986,
2022-07-07 08:41:59.999,1657175940000,1166.48,1168.0,1165.94,1167.52,704.176,1657176119999,821906.278217,949,416.7425,486420.332097,
